event-id,visible,timestamp,location-long,location-lat,activity-x,activity-y,activity-z,external-temperature,gps:satellite-count,gps-time-to-fix,ground-speed,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29449188911,TRUE,24:00.0,-90.459233,-1.298417,,,,44.4,5,7,0,4050,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187790,TRUE,01:00.0,-90.459267,-1.298167,,,,37.9,4,33,0,4050,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190414,TRUE,02:00.0,-90.45925,-1.298117,,,,35,7,29,0,4050,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188912,TRUE,02:00.0,-90.459233,-1.2981,,,,30.8,5,5,0.1,4050,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188907,TRUE,02:00.0,-90.466267,-1.280533,,,,29.7,5,7,0,4050,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449191125,TRUE,03:00.0,-90.466667,-1.280983,,,,31.2,10,37,0,4050,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188906,TRUE,03:00.0,-90.4668,-1.2813,,,,29.5,5,5,0.3,4050,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188893,TRUE,06:00.0,-90.466767,-1.281583,,,,31.8,5,4,0,4040,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189784,TRUE,20:00.0,-90.467017,-1.281567,,,,34,6,4,0,4000,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188858,TRUE,20:00.0,-90.469233,-1.281533,,,,29,5,9,0.3,4010,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449191120,TRUE,21:00.0,-90.466617,-1.2807,,,,29.5,10,25,0,3990,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188828,TRUE,21:00.0,-90.4645,-1.28555,,,,28.4,5,5,0.1,3990,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190390,TRUE,21:00.0,-90.46415,-1.287817,,,,28.1,7,5,0,3990,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190379,TRUE,22:00.0,-90.481017,-1.278117,,,,28.8,7,16,0,3980,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190375,TRUE,23:00.0,-90.469017,-1.279933,,,,30.7,7,62,0,3970,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188799,TRUE,23:00.0,-90.462333,-1.2906,,,,28.6,5,4,0,3980,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187658,TRUE,24:00.0,-90.4606,-1.296067,,,,28.8,4,4,0.1,3970,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187657,TRUE,24:00.0,-90.46075,-1.296117,,,,30.7,4,13,1.1,3970,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188765,TRUE,25:00.0,-90.460617,-1.296067,,,,33.1,5,33,0,3960,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187645,TRUE,25:00.0,-90.4606,-1.296067,,,,34.1,4,8,0.2,3960,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187646,TRUE,26:00.0,-90.4605,-1.296117,,,,36.6,4,13,0.8,3960,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190757,TRUE,01:00.0,-90.4606,-1.2961,,,,45.1,8,36,0,3970,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190382,TRUE,01:00.0,-90.460583,-1.296083,,,,42,7,4,0.5,3980,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187679,TRUE,01:00.0,-90.4603,-1.296183,,,,35.4,4,4,0.1,3980,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188777,TRUE,02:00.0,-90.460367,-1.295767,,,,27.9,5,4,0.3,3970,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188749,TRUE,03:00.0,-90.455267,-1.296033,,,,30.9,5,89,0,3950,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187621,TRUE,04:00.0,-90.456067,-1.296417,,,,27.9,4,13,0,3950,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188747,TRUE,05:00.0,-90.456467,-1.29645,,,,28.5,5,28,0,3950,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188748,TRUE,05:00.0,-90.45565,-1.297917,,,,28.1,5,7,0.1,3950,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190978,TRUE,06:00.0,-90.45965,-1.297467,,,,29.3,9,25,0,3950,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190747,TRUE,06:00.0,-90.459717,-1.293333,,,,25.7,8,5,9.3,3950,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188728,TRUE,06:00.0,-90.459533,-1.295383,,,,25.5,5,4,1.3,3940,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187608,TRUE,06:00.0,-90.4609,-1.29705,,,,27,4,6,1.1,3940,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188718,TRUE,07:00.0,-90.4607,-1.2968,,,,29.2,5,38,0,3930,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188717,TRUE,08:00.0,-90.461067,-1.2969,,,,28.4,5,6,0,3930,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187587,TRUE,09:00.0,-90.461083,-1.30045,,,,30.2,4,39,1.9,3920,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189621,TRUE,07:00.0,-90.460633,-1.300283,,,,32.3,6,63,0.1,3870,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188576,TRUE,08:00.0,-90.455517,-1.29685,,,,29.8,5,36,0,3870,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187481,TRUE,08:00.0,-90.4558,-1.296283,,,,28.9,4,7,1.2,3870,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189605,TRUE,09:00.0,-90.455867,-1.296,,,,29,6,34,0,3860,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187480,TRUE,09:00.0,-90.457183,-1.295317,,,,26.8,4,8,0,3870,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188560,TRUE,10:00.0,-90.459167,-1.295133,,,,26.6,5,5,0.1,3860,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188559,TRUE,10:00.0,-90.461067,-1.295517,,,,27.9,5,10,0,3860,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449190259,TRUE,11:00.0,-90.455833,-1.302533,,,,27.9,7,37,0,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188547,TRUE,11:00.0,-90.451867,-1.289617,,,,26.4,5,6,0,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188532,TRUE,12:00.0,-90.46505,-1.278833,,,,28,5,8,0.7,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188533,TRUE,12:00.0,-90.457967,-1.285633,,,,28,5,7,0.9,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187432,TRUE,13:00.0,-90.450767,-1.288533,,,,29.5,4,23,0.1,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187435,TRUE,13:00.0,-90.45055,-1.28895,,,,33.3,4,35,0.1,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449187433,TRUE,14:00.0,-90.450683,-1.288817,,,,38.4,4,43,0.2,3850,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449189613,TRUE,02:00.0,-90.450817,-1.288417,,,,35.1,6,65,0,3860,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
29449188567,TRUE,03:00.0,-90.4507,-1.288483,,,,32.3,5,14,0.7,3860,gps,Asio flammeus,ASI01,PS0011,Rewilding Galapagos Short-eared Owls
